Date,IncidenceOfCopd,PrevalenceOfCopd
2015-01-01,6,8
2015-01-02,1,3
2015-01-03,0,1
2015-01-04,0,0
2015-01-05,3,17
2015-01-06,7,16
2015-01-07,2,8
2015-01-08,1,11
2015-01-09,2,7
2015-01-10,0,0
2015-01-11,0,0
2015-01-12,1,9
2015-01-13,4,11
2015-01-14,1,7
2015-01-15,2,15
2015-01-16,0,8
2015-01-17,0,0
2015-01-18,0,0
2015-01-19,3,16
2015-01-20,2,7
2015-01-21,0,15
2015-01-22,0,5
2015-01-23,0,2
2015-01-24,1,1
2015-01-25,0,0
2015-01-26,2,10
2015-01-27,3,15
2015-01-28,3,15
2015-01-29,1,9
2015-01-30,0,11
2015-01-31,1,1
2015-02-01,1,2
2015-02-02,3,18
2015-02-03,2,10
2015-02-04,2,10
2015-02-05,4,13
2015-02-06,0,7
2015-02-07,0,1
2015-02-08,0,0
2015-02-09,0,11
2015-02-10,1,8
2015-02-11,4,12
2015-02-12,2,15
2015-02-13,1,11
2015-02-14,0,1
2015-02-15,0,0
2015-02-16,5,13
2015-02-17,1,5
2015-02-18,3,9
2015-02-19,2,13
2015-02-20,0,6
2015-02-21,0,0
2015-02-22,0,0
2015-02-23,1,9
2015-02-24,4,14
2015-02-25,1,7
2015-02-26,0,14
2015-02-27,3,10
2015-02-28,0,0
2015-03-01,1,1
2015-03-02,1,19
2015-03-03,3,8
2015-03-04,2,8
2015-03-05,0,12
2015-03-06,0,6
2015-03-07,0,0
2015-03-08,0,0
2015-03-09,2,9
2015-03-10,5,21
2015-03-11,1,12
2015-03-12,3,10
2015-03-13,0,3
2015-03-14,0,0
2015-03-15,0,0
2015-03-16,2,12
2015-03-17,0,8
2015-03-18,0,9
2015-03-19,1,10
2015-03-20,3,10
2015-03-21,1,2
2015-03-22,0,0
2015-03-23,0,12
2015-03-24,2,10
2015-03-25,1,5
2015-03-26,2,13
2015-03-27,3,8
2015-03-28,0,0
2015-03-29,0,0
2015-03-30,1,11
2015-03-31,4,15
2015-04-01,0,12
2015-04-02,3,5
2015-04-03,0,0
2015-04-04,0,0
2015-04-05,0,0
2015-04-06,0,0
2015-04-07,0,4
2015-04-08,2,6
2015-04-09,0,6
2015-04-10,2,5
2015-04-11,0,0
2015-04-12,0,1
2015-04-13,0,11
2015-04-14,4,16
2015-04-15,5,9
2015-04-16,0,2
2015-04-17,0,5
2015-04-18,0,0
2015-04-19,0,0
2015-04-20,0,15
2015-04-21,3,10
2015-04-22,2,7
2015-04-23,3,10
2015-04-24,0,7
2015-04-25,0,1
2015-04-26,0,0
2015-04-27,1,13
2015-04-28,1,15
2015-04-29,1,5
2015-04-30,2,4
2015-05-01,3,11
2015-05-02,0,0
2015-05-03,1,1
2015-05-04,0,0
2015-05-05,5,10
2015-05-06,1,10
2015-05-07,0,3
2015-05-08,1,17
2015-05-09,0,0
2015-05-10,0,0
2015-05-11,2,7
2015-05-12,1,6
2015-05-13,1,6
2015-05-14,5,9
2015-05-15,0,5
2015-05-16,0,0
2015-05-17,0,0
2015-05-18,2,10
2015-05-19,1,14
2015-05-20,1,6
2015-05-21,1,9
2015-05-22,1,6
2015-05-23,0,0
2015-05-24,0,0
2015-05-25,0,0
2015-05-26,0,10
2015-05-27,0,9
2015-05-28,0,6
2015-05-29,1,3
2015-05-30,0,0
2015-05-31,0,0
2015-06-01,2,15
2015-06-02,1,5
2015-06-03,1,8
2015-06-04,4,12
2015-06-05,2,4
2015-06-06,0,0
2015-06-07,0,0
2015-06-08,1,14
2015-06-09,5,12
2015-06-10,2,7
2015-06-11,2,9
2015-06-12,2,11
2015-06-13,0,1
2015-06-14,0,0
2015-06-15,1,12
2015-06-16,1,9
2015-06-17,2,7
2015-06-18,0,9
2015-06-19,1,5
2015-06-20,0,0
2015-06-21,0,1
2015-06-22,3,15
2015-06-23,1,8
2015-06-24,4,14
2015-06-25,4,12
2015-06-26,1,7
2015-06-27,0,2
2015-06-28,0,0
2015-06-29,2,15
2015-06-30,3,8
2015-07-01,1,10
2015-07-02,0,6
2015-07-03,1,8
2015-07-04,0,0
2015-07-05,0,0
2015-07-06,1,8
2015-07-07,2,5
2015-07-08,1,11
2015-07-09,2,5
2015-07-10,3,8
2015-07-11,0,1
2015-07-12,1,1
2015-07-13,0,5
2015-07-14,1,10
2015-07-15,1,8
2015-07-16,1,8
2015-07-17,0,8
2015-07-18,0,1
2015-07-19,0,0
2015-07-20,0,5
2015-07-21,2,7
2015-07-22,5,13
2015-07-23,2,8
2015-07-24,2,6
2015-07-25,0,0
2015-07-26,0,0
2015-07-27,2,13
2015-07-28,1,12
2015-07-29,0,5
2015-07-30,1,11
2015-07-31,1,5
2015-08-01,1,1
2015-08-02,0,0
2015-08-03,2,11
2015-08-04,0,9
2015-08-05,3,15
2015-08-06,3,8
2015-08-07,2,5
2015-08-08,0,0
2015-08-09,0,0
2015-08-10,1,6
2015-08-11,0,15
2015-08-12,0,6
2015-08-13,1,5
2015-08-14,1,7
2015-08-15,0,0
2015-08-16,0,0
2015-08-17,1,12
2015-08-18,0,8
2015-08-19,2,7
2015-08-20,2,9
2015-08-21,2,5
2015-08-22,0,0
2015-08-23,0,1
2015-08-24,2,9
2015-08-25,0,4
2015-08-26,2,8
2015-08-27,2,11
2015-08-28,0,3
2015-08-29,1,1
2015-08-30,0,0
2015-08-31,0,0
2015-09-01,3,8
2015-09-02,2,10
2015-09-03,1,8
2015-09-04,1,5
2015-09-05,0,0
2015-09-06,0,0
2015-09-07,2,11
2015-09-08,5,13
2015-09-09,3,9
2015-09-10,0,8
2015-09-11,3,11
2015-09-12,0,0
2015-09-13,0,0
2015-09-14,2,8
2015-09-15,8,18
2015-09-16,2,9
2015-09-17,0,6
2015-09-18,2,6
2015-09-19,0,1
2015-09-20,0,0
2015-09-21,1,10
2015-09-22,1,3
2015-09-23,1,5
2015-09-24,0,7
2015-09-25,1,6
2015-09-26,0,0
2015-09-27,0,0
2015-09-28,3,11
2015-09-29,0,11
2015-09-30,1,7
2015-10-01,5,12
2015-10-02,0,3
2015-10-03,0,0
2015-10-04,1,1
2015-10-05,1,9
2015-10-06,0,6
2015-10-07,1,13
2015-10-08,4,16
2015-10-09,1,5
2015-10-10,0,0
2015-10-11,0,0
2015-10-12,0,8
2015-10-13,4,11
2015-10-14,1,9
2015-10-15,1,5
2015-10-16,1,10
2015-10-17,0,0
2015-10-18,1,1
2015-10-19,3,8
2015-10-20,1,9
2015-10-21,1,5
2015-10-22,1,5
2015-10-23,0,1
2015-10-24,0,2
2015-10-25,0,0
2015-10-26,0,4
2015-10-27,4,10
2015-10-28,1,9
2015-10-29,3,6
2015-10-30,0,6
2015-10-31,0,0
2015-11-01,0,2
2015-11-02,4,10
2015-11-03,2,13
2015-11-04,3,9
2015-11-05,2,9
2015-11-06,2,6
2015-11-07,0,0
2015-11-08,0,2
2015-11-09,0,12
2015-11-10,0,8
2015-11-11,4,12
2015-11-12,3,8
2015-11-13,0,7
2015-11-14,0,0
2015-11-15,0,0
2015-11-16,1,12
2015-11-17,2,8
2015-11-18,3,11
2015-11-19,3,7
2015-11-20,1,8
2015-11-21,0,0
2015-11-22,0,0
2015-11-23,3,9
2015-11-24,2,10
2015-11-25,2,7
2015-11-26,1,7
2015-11-27,6,13
2015-11-28,0,0
2015-11-29,0,0
2015-11-30,2,16
2015-12-01,7,19
2015-12-02,2,8
2015-12-03,1,5
2015-12-04,0,11
2015-12-05,0,0
2015-12-06,0,0
2015-12-07,2,13
2015-12-08,2,11
2015-12-09,2,11
2015-12-10,3,13
2015-12-11,0,5
2015-12-12,0,0
2015-12-13,0,0
2015-12-14,2,11
2015-12-15,4,14
2015-12-16,1,11
2015-12-17,4,13
2015-12-18,2,4
2015-12-19,0,0
2015-12-20,0,0
2015-12-21,1,6
2015-12-22,3,9
2015-12-23,0,2
2015-12-24,2,4
2015-12-25,0,1
2015-12-26,0,0
2015-12-27,0,0
2015-12-28,0,1
2015-12-29,1,3
2015-12-30,0,7
2015-12-31,1,6
2016-01-01,8,12
2016-01-02,0,0
2016-01-03,0,0
2016-01-04,2,22
2016-01-05,3,12
2016-01-06,0,9
2016-01-07,3,10
2016-01-08,2,9
2016-01-09,0,0
2016-01-10,0,0
2016-01-11,3,12
2016-01-12,4,13
2016-01-13,0,12
2016-01-14,1,8
2016-01-15,2,11
2016-01-16,0,0
2016-01-17,0,0
2016-01-18,4,13
2016-01-19,2,14
2016-01-20,2,5
2016-01-21,2,11
2016-01-22,1,4
2016-01-23,0,0
2016-01-24,1,1
2016-01-25,1,15
2016-01-26,2,10
2016-01-27,1,8
2016-01-28,2,10
2016-01-29,1,9
2016-01-30,0,1
2016-01-31,0,0
2016-02-01,5,20
2016-02-02,3,17
2016-02-03,1,8
2016-02-04,0,6
2016-02-05,1,10
2016-02-06,0,0
2016-02-07,0,0
2016-02-08,1,8
2016-02-09,3,11
2016-02-10,2,8
2016-02-11,1,2
2016-02-12,1,4
2016-02-13,0,0
2016-02-14,0,0
2016-02-15,1,8
2016-02-16,3,12
2016-02-17,0,7
2016-02-18,0,8
2016-02-19,0,2
2016-02-20,0,1
2016-02-21,0,0
2016-02-22,2,10
2016-02-23,2,11
2016-02-24,5,15
2016-02-25,2,12
2016-02-26,3,10
2016-02-27,0,0
2016-02-28,0,0
2016-02-29,4,15
2016-03-01,6,12
2016-03-02,1,8
2016-03-03,2,10
2016-03-04,2,5
2016-03-05,0,0
2016-03-06,1,1
2016-03-07,1,11
2016-03-08,2,12
2016-03-09,0,7
2016-03-10,0,9
2016-03-11,1,6
2016-03-12,0,1
2016-03-13,1,1
2016-03-14,4,16
2016-03-15,0,14
2016-03-16,2,10
2016-03-17,2,7
2016-03-18,2,10
2016-03-19,0,0
2016-03-20,0,0
2016-03-21,0,5
2016-03-22,4,14
2016-03-23,2,6
2016-03-24,2,9
2016-03-25,0,0
2016-03-26,0,0
2016-03-27,1,1
2016-03-28,0,1
2016-03-29,2,7
2016-03-30,1,13
2016-03-31,1,5
2016-04-01,2,12
2016-04-02,1,1
2016-04-03,0,0
2016-04-04,3,10
2016-04-05,3,10
2016-04-06,0,5
2016-04-07,3,10
2016-04-08,1,4
2016-04-09,0,0
2016-04-10,0,0
2016-04-11,2,10
2016-04-12,3,6
2016-04-13,4,11
2016-04-14,2,9
2016-04-15,0,3
2016-04-16,0,0
2016-04-17,0,0
2016-04-18,2,11
2016-04-19,2,7
2016-04-20,1,8
2016-04-21,3,7
2016-04-22,2,10
2016-04-23,0,1
2016-04-24,0,0
2016-04-25,5,13
2016-04-26,4,9
2016-04-27,1,6
2016-04-28,3,12
2016-04-29,3,8
2016-04-30,0,1
2016-05-01,0,0
2016-05-02,0,0
2016-05-03,5,13
2016-05-04,2,8
2016-05-05,0,6
2016-05-06,1,8
2016-05-07,0,0
2016-05-08,0,0
2016-05-09,1,18
2016-05-10,1,8
2016-05-11,0,8
2016-05-12,2,7
2016-05-13,2,6
2016-05-14,0,0
2016-05-15,0,0
2016-05-16,2,6
2016-05-17,2,8
2016-05-18,1,5
2016-05-19,1,7
2016-05-20,3,4
2016-05-21,0,1
2016-05-22,0,0
2016-05-23,4,9
2016-05-24,3,11
2016-05-25,0,4
2016-05-26,4,8
2016-05-27,2,6
2016-05-28,0,0
2016-05-29,0,0
2016-05-30,0,1
2016-05-31,1,13
2016-06-01,2,9
2016-06-02,2,11
2016-06-03,0,6
2016-06-04,0,1
2016-06-05,0,0
2016-06-06,4,14
2016-06-07,2,9
2016-06-08,3,12
2016-06-09,1,11
2016-06-10,1,5
2016-06-11,0,0
2016-06-12,0,2
2016-06-13,1,10
2016-06-14,3,6
2016-06-15,2,13
2016-06-16,7,19
2016-06-17,0,8
2016-06-18,0,1
2016-06-19,0,0
2016-06-20,2,14
2016-06-21,0,10
2016-06-22,0,9
2016-06-23,1,7
2016-06-24,2,8
2016-06-25,0,0
2016-06-26,0,0
2016-06-27,2,6
2016-06-28,4,9
2016-06-29,1,6
2016-06-30,2,7
2016-07-01,2,7
2016-07-02,0,0
2016-07-03,0,0
2016-07-04,2,14
2016-07-05,1,6
2016-07-06,0,4
2016-07-07,0,2
2016-07-08,1,4
2016-07-09,0,0
2016-07-10,0,0
2016-07-11,1,6
2016-07-12,1,7
2016-07-13,0,6
2016-07-14,2,10
2016-07-15,2,10
2016-07-16,0,0
2016-07-17,1,1
2016-07-18,1,14
2016-07-19,3,7
2016-07-20,2,8
2016-07-21,2,8
2016-07-22,1,3
2016-07-23,0,0
2016-07-24,0,0
2016-07-25,1,13
2016-07-26,1,8
2016-07-27,2,6
2016-07-28,1,10
2016-07-29,1,5
2016-07-30,0,0
2016-07-31,0,0
2016-08-01,3,10
2016-08-02,0,8
2016-08-03,2,4
2016-08-04,3,5
2016-08-05,2,5
2016-08-06,0,0
2016-08-07,0,0
2016-08-08,2,11
2016-08-09,2,8
2016-08-10,3,9
2016-08-11,2,6
2016-08-12,0,6
2016-08-13,1,1
2016-08-14,0,0
2016-08-15,0,10
2016-08-16,2,6
2016-08-17,2,10
2016-08-18,1,13
2016-08-19,2,9
2016-08-20,0,0
2016-08-21,0,1
2016-08-22,2,10
2016-08-23,4,10
2016-08-24,3,9
2016-08-25,4,12
2016-08-26,1,5
2016-08-27,0,0
2016-08-28,0,0
2016-08-29,0,0
2016-08-30,1,10
2016-08-31,3,7
2016-09-01,4,17
2016-09-02,1,9
2016-09-03,0,1
2016-09-04,0,0
2016-09-05,3,12
2016-09-06,2,3
2016-09-07,1,10
2016-09-08,0,6
2016-09-09,1,6
2016-09-10,0,0
2016-09-11,0,0
2016-09-12,1,11
2016-09-13,2,10
2016-09-14,3,9
2016-09-15,1,12
2016-09-16,2,10
2016-09-17,0,0
2016-09-18,0,0
2016-09-19,2,10
2016-09-20,0,7
2016-09-21,2,11
2016-09-22,2,5
2016-09-23,1,4
2016-09-24,0,1
2016-09-25,0,0
2016-09-26,3,11
2016-09-27,2,11
2016-09-28,2,8
