Date,IncidenceOfAntipsychotics,PrevalenceOfAntipsychotics
2015-01-01,0,68
2015-01-02,11,285
2015-01-03,0,3
2015-01-04,0,3
2015-01-05,11,462
2015-01-06,15,426
2015-01-07,11,307
2015-01-08,8,306
2015-01-09,12,300
2015-01-10,0,7
2015-01-11,0,4
2015-01-12,15,437
2015-01-13,14,383
2015-01-14,11,337
2015-01-15,10,247
2015-01-16,14,259
2015-01-17,1,9
2015-01-18,0,4
2015-01-19,17,429
2015-01-20,12,374
2015-01-21,14,281
2015-01-22,5,256
2015-01-23,10,265
2015-01-24,0,6
2015-01-25,0,6
2015-01-26,16,412
2015-01-27,8,357
2015-01-28,14,290
2015-01-29,8,253
2015-01-30,14,267
2015-01-31,0,5
2015-02-01,0,3
2015-02-02,17,418
2015-02-03,9,384
2015-02-04,10,333
2015-02-05,13,315
2015-02-06,9,293
2015-02-07,0,6
2015-02-08,0,3
2015-02-09,15,412
2015-02-10,14,397
2015-02-11,10,304
2015-02-12,8,298
2015-02-13,12,292
2015-02-14,0,6
2015-02-15,0,4
2015-02-16,8,428
2015-02-17,17,384
2015-02-18,8,277
2015-02-19,8,279
2015-02-20,14,277
2015-02-21,0,9
2015-02-22,0,4
2015-02-23,8,410
2015-02-24,10,361
2015-02-25,12,272
2015-02-26,11,304
2015-02-27,14,335
2015-02-28,0,6
2015-03-01,0,4
2015-03-02,16,434
2015-03-03,8,355
2015-03-04,9,315
2015-03-05,16,286
2015-03-06,15,310
2015-03-07,0,5
2015-03-08,0,5
2015-03-09,13,431
2015-03-10,7,397
2015-03-11,8,278
2015-03-12,13,345
2015-03-13,17,314
2015-03-14,0,6
2015-03-15,1,6
2015-03-16,16,427
2015-03-17,13,351
2015-03-18,14,330
2015-03-19,16,305
2015-03-20,12,273
2015-03-21,0,5
2015-03-22,0,5
2015-03-23,13,439
2015-03-24,12,351
2015-03-25,10,321
2015-03-26,6,302
2015-03-27,10,297
2015-03-28,1,5
2015-03-29,0,4
2015-03-30,17,475
2015-03-31,21,417
2015-04-01,11,291
2015-04-02,10,319
2015-04-03,0,76
2015-04-04,0,6
2015-04-05,0,5
2015-04-06,0,165
2015-04-07,8,448
2015-04-08,7,386
2015-04-09,8,351
2015-04-10,13,288
2015-04-11,0,6
2015-04-12,0,4
2015-04-13,10,423
2015-04-14,14,421
2015-04-15,5,309
2015-04-16,14,268
2015-04-17,10,268
2015-04-18,0,5
2015-04-19,0,5
2015-04-20,16,429
2015-04-21,10,405
2015-04-22,7,296
2015-04-23,9,317
2015-04-24,7,256
2015-04-25,0,6
2015-04-26,1,8
2015-04-27,10,395
2015-04-28,11,376
2015-04-29,9,310
2015-04-30,15,318
2015-05-01,8,336
2015-05-02,0,5
2015-05-03,0,6
2015-05-04,0,143
2015-05-05,11,423
2015-05-06,7,344
2015-05-07,13,329
2015-05-08,12,324
2015-05-09,0,4
2015-05-10,0,5
2015-05-11,9,409
2015-05-12,13,390
2015-05-13,8,315
2015-05-14,6,330
2015-05-15,11,266
2015-05-16,0,3
2015-05-17,0,4
2015-05-18,18,446
